LIQUOR_SUPPLIER,LIQUOR_CODE,LIQUOR_DESCRIPTION,LIQUOR_TYPE,QUANTITY,MEASUREMENT,UPDATED_BY,IS_ACTIVE,LAST_UPDATED_DATE,IMAGE_PATH
A VINTNERS SELECTIONS,210,DR PAULY BERG NOBLE HOUSE RIES - 750ML,WINE,,,,,,
Default,211,CORKSCREW,REF,,,,,,
JIM BEAM BRANDS CO,212,MAKER'S MARK 90P - 1L,LIQUOR,,,,,,
CONSTELLATION BRANDS,213,BLACK BOX SHIRAZ 6/CS - 3L,WINE,,,,,,
CONSTELLATION BRANDS,214,SVEDKA VODKA - 100P - 375ML,LIQUOR,,,,,,
LEGENDS LTD,215,OMMEGANG GREAT BEYOND - 12.OZ 6/4NR,BEER,,,,,,
CAMPARI AMERICA LLC,216,WILD TURKEY 101P - 1.75L,LIQUOR,,,,,,
PERNOD RICARD USA LLC,217,MALIBU RUM - 1L,LIQUOR,,,,,,
CONSTELLATION BRANDS,218,BLACKSTONE CALIF MER - 1.5L,WINE,,,,,,
ROYAL WINE CORP,219,RASHI LIGHT WHITE CONCORD - 750ML,WINE,,,,,,
RELIABLE CHURCHILL LLLP,220,HILLBILLY 86 PROOF BOURBON WHISKEY - 750ML,LIQUOR,,,,,,
NEW PARROTT & CO,221,WENTE CHARLES WETMORE RES CAB - 750ML,WINE,,,,,,
LEGENDS LTD,222,4 HANDS DAKINE 4/6 CANS - 16OZ,BEER,,,,,,
LEGENDS LTD,223,PEAK EVERGREEN/CRUSH VARIETY 4/6 - 12OZ,BEER,,,,,,
A VINTNERS SELECTIONS,224,SPY VALLEY MARLBOROUGH S/BLC - 750ML,WINE,,,,,,
JIM BEAM BRANDS CO,225,CRUZAN AGED RUM 151 PROOF - 1L,LIQUOR,,,,,,
TREASURY WINE ESTATES AMERICAS COMPANY,226,MERIDIAN CAL MER - 750ML,WINE,,,,,,
MHW LTD,227,ETRUSCO AMARO - 750ML,LIQUOR,,,,,,
DUGGANS DISTILLERS PROD,228,LA FOGATA TEQUILA - PLATINUM - 750ML,LIQUOR,,,,,,
DUGGANS DISTILLERS PROD,229,BOBBY'S GIN - 750ML,LIQUOR,,,,,,
WILLIAM GRANT AND SONS INC,230,FLOR DE CANA RUM - CENTENARIO - 750ML,LIQUOR,,,,,,
CAMPARI AMERICA LLC,231,SKYY INFUSIONS HONEYCRISP APPLE - 750ML,LIQUOR,,,,,,
CAMPARI AMERICA LLC,232,SKYY INFUSIONS TROPICAL MANGO - 750ML,LIQUOR,,,,,,
REPUBLIC NATIONAL DISTRIBUTING CO,233,JUNIPERO GIN - 750ML,LIQUOR,,,,,,
REPUBLIC NATIONAL DISTRIBUTING CO,234,THE GLENROTHES SHERRY CASK RES - 750ML,LIQUOR,,,,,,
SOUTHERN GLAZERS WINE AND SPIRITS,235,MULDERBOSCH CHENIN BLANC - 750ML,WINE,,,,,,
Default,236,WINE PAPER GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES,,,,,,
SOUTHERN GLAZERS WINE AND SPIRITS,237,WEST CORK IRISH WHISKEY 10 YEAR - 750ML,LIQUOR,,,,,,
